"","year","codel2_2016","TO_5","TO_6","TO_MULTI","TO_10","TO_8","TO_TA","TO_1","TO_4","TO_9","TO_11","TO_3","TO_7","TO_2","TO_12","TO_13"
"68",2016,"DE73",0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2016,"DE8",0,0,0,0,89716,700385,0,0,0,0,0,0,0,0,0
"70",2016,"DE80",0,20000,0,19646655,2672678,13452455,42980326,7896672,17317265,0,77925608,0,0,0,0
"71",2016,"DE9",0,0,0,114927,3037620,8962225,0,0,27800,0,0,0,0,0,0
"72",2016,"DE91",0,0,0,113351,1003524,0,417961,39639,7351603,0,4826605,0,0,0,0
"73",2016,"DE92",0,37568,165780,1174278,805889,0,2179293,136531,9034745,0,9943811,0,0,0,0
"74",2016,"DE93",0,0,128644,1065131,1992398,0,1138274,26757,7571567,0,13570733,0,0,0,0
"75",2016,"DE94",0,438054,3215251,1505667,1656566,0,1032281,651382,13484047,928727,7875031,0,0,0,0
"76",2016,"DEA",0,0,60854,69106955,174727428,22431114,12528514,14568583,62971132,0,2573358,0,0,0,0
"77",2016,"DEA1",0,0,762057,0,0,3027189,6600813,19486048,0,1581983,3605182,0,0,0,0
"78",2016,"DEA2",0,0,0,0,206682,0,8910680,5146310,0,0,1874253,0,0,0,0
"79",2016,"DEA3",0,0,4156282,0,0,995771,1870817,2486100,0,2246383,1831135,0,0,0,0
"80",2016,"DEA4",0,0,0,0,0,0,1824611,246150,0,0,2270588,0,0,0,0
"81",2016,"DEA5",0,0,130615,0,0,105556,4523961,393434,0,0,3042468,0,0,0,0
"82",2016,"DEB",0,0,0,29308578,8478134,0,0,0,13244186,0,0,0,0,0,0
"83",2016,"DEB1",0,0,0,0,0,0,222834,233288,0,0,6855183,0,0,0,0
"84",2016,"DEB2",0,0,0,0,0,0,0,0,0,0,845476,0,0,0,0
"85",2016,"DEB3",0,0,0,0,0,1530111,6040682,0,0,0,345681,0,0,0,0
"86",2016,"DEC",0,0,0,0,265635,0,0,0,0,0,0,0,0,0,0
"87",2016,"DEC0",0,0,0,6056034,868461,2170263,0,0,23263140,0,463548,0,0,0,0
"88",2016,"DED",0,0,0,0,2903613,2013055,0,0,0,0,0,0,0,0,0
"89",2016,"DED2",25963548,863005,0,3298367,2821717,1711579,27314961,3223361,4703584,356383,4507078,0,0,0,0
"90",2016,"DED4",8593559,149154,0,3829644,1768387,0,3739168,3320338,1754737,152474,4889868,0,0,0,0
"91",2016,"DED5",5876027,0,0,2140923,1670321,0,3663695,166113,1442816,0,2412896,0,0,0,0
"92",2016,"DEE",2830684,0,0,4636637,12411177,1900666,10536585,0,5926294,0,3908139,0,0,0,0
"93",2016,"DEE0",0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0
"94",2016,"DEF",0,0,0,381317,4333621,228534,0,0,716553,0,0,0,0,0,0
"95",2016,"DEF0",0,20000,0,34552052,10610499,3764419,6736524,319323,7833904,0,29761682,0,0,0,0
"96",2016,"DEG",0,0,0,0,377445,0,0,0,0,0,0,0,0,0,0
"97",2016,"DEG0",0,0,18598337,5513917,6506391,3466234,17118578,6286545,12036299,0,180348508,0,0,0,0
"98",2016,"DK0",0,0,341311,3343337,11803674,7371645,5522644,1198741,868975,0,6853974,0,0,0,0
"99",2016,"DK01",0,0,0,0,0,0,432864,0,0,0,0,0,0,0,0
"100",2016,"DK02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2016,"DK03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2016,"DK04",0,0,0,0,965225,0,201743,0,0,0,0,0,0,0,0
"103",2016,"DK05",0,0,0,0,156193,0,0,179423,0,0,0,0,0,0,0
"104",2016,"EE00",0,128520,69959459,25881542,9063905,13444924,17798414,27509463,20279167,5741644,0,133650820,25939295,0,0
"105",2016,"EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2016,"EL30",17234849,33740431,142456030,60210537,37886509,18045750,2822030,38916339,25252959,4750256,0,7179696,13433142,0,0
"107",2016,"EL41",13536,0,25108478,6623873,2273917,2256609,0,0,0,941982,0,15455506,483778,0,0
"108",2016,"EL42",19117,13601823,31172336,9102159,3074225,3267611,0,0,0,614622,0,0,548430,0,0
"109",2016,"EL43",79785,26977191,35475489,20756468,7409718,3650513,0,0,6275871,941982,0,20824563,483778,0,0
"110",2016,"EL51",427989,1317922,73810835,11172928,8883041,10296146,0,0,0,3622858,0,0,2793425,0,0
"111",2016,"EL52",2363726,27963792,103684186,46463243,24154263,18280420,0,79340467,20000577,3522675,0,99521310,2793425,0,0
"112",2016,"EL53",4879840,9412150,19164990,9733702,3558068,2314664,0,0,7751189,943967,0,22848050,483778,0,0
"113",2016,"EL54",53672,1184471,57851131,5281660,4967829,7557299,0,0,0,3622858,0,0,2793425,0,0
"114",2016,"EL61",86920,9073143,53165570,7487543,9958272,10211168,0,0,0,3622858,0,15175641,2793425,0,0
"115",2016,"EL62",24629,433378,25606514,6435537,2500911,2129036,0,0,0,941999,0,0,483778,0,0
"116",2016,"EL63",107427,17450988,78601373,14683186,9752613,9759971,0,0,0,3622858,0,39864150,2793425,0,0
"117",2016,"EL64",494846,14034387,24910794,15681581,4687357,4473237,0,0,6639038,2182863,0,18986253,1119153,0,0
"118",2016,"EL65",166882,2344970,26650779,10760416,6351267,3706189,0,0,0,943984,0,11313377,483778,0,0
"119",2016,"ES",0,0,0,0,1996459,0,0,0,0,0,0,0,0,0,0
"120",2016,"ES11",0,0,0,8918318,0,0,0,0,0,0,0,0,0,0,0
"121",2016,"ES13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2016,"ES21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2016,"ES22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2016,"ES23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2016,"ES24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2016,"ES30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2016,"ES43",0,0,0,17595375,24773471,0,0,0,0,0,0,0,0,0,0
"128",2016,"ES51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",2016,"ES52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2016,"ES61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",2016,"ES62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",2016,"ES63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2016,"ES64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2016,"ES7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2016,"FI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2016,"FI1",0,0,9232179,7800090,5400532,11172196,0,0,5771845,0,20460000,0,0,0,0
"137",2016,"FI19",0,229383,19071083,4662894,5219491,689398,267968,0,1940242,0,0,169299,0,0,0
"138",2016,"FI1B",0,0,2092799,942040,5201273,0,0,0,1489184,0,0,0,0,0,0
"139",2016,"FI1C",0,0,18193493,3488975,4382224,736047,0,0,1885009,0,0,20000,0,0,0
"140",2016,"FI1D",0,389105,113637555,17694903,18903477,2391998,781734,44544,8763692,0,547659,0,0,0,0
"141",2016,"FI20",0,0,914297,0,0,0,0,0,0,0,0,0,0,0,0
"142",2016,"FR",476242,6192294,44936819,0,14616086,10650093,1042789,0,79038707,0,142277,5536444,0,0,0
"143",2016,"FR10",0,0,12184514,0,25073088,246556,0,0,46478173,0,0,0,0,0,0
"144",2016,"FR2",0,0,0,0,0,0,0,0,0,1279524,0,0,0,0,0
"145",2016,"FR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",2016,"FR91",0,0,0,0,15780390,0,0,0,0,0,0,0,0,0,0
"147",2016,"FRB0",0,0,757670,8361363,17321369,70648,6393240,823088,7336357,0,12445137,0,441937,0,0
"148",2016,"FRC1",0,2147324,15017713,6138893,1694045,427560,0,2284398,21383716,0,0,0,200905,0,0
"149",2016,"FRC2",0,0,5430883,8363964,105966,1084838,0,9958974,14263560,0,0,0,0,0,0
"150",2016,"FRD1",0,0,43880132,293048,7979596,76392,0,0,8250501,0,0,0,7925133,0,0
"151",2016,"FRD2",0,0,3236907,528266,3019281,0,0,0,7858498,0,0,0,0,0,0
"152",2016,"FRE1",0,0,12701202,0,23502836,1455150,0,0,36799418,0,0,0,0,0,0
"153",2016,"FRE2",0,0,21320321,0,9552719,0,0,5224346,10476874,0,0,0,3311474,0,0
"154",2016,"FRF1",0,0,1665894,1921282,1653413,153636,2520256,111673,12883157,0,926504,0,147653,0,0
"155",2016,"FRF2",0,0,10347242,0,5209555,6146,0,0,13385031,0,0,0,0,0,0
"156",2016,"FRF3",0,57728,3969734,2847315,4864522,319218,235341,3214341,19323235,0,17469567,0,0,0,0
"157",2016,"FRG0",0,0,5891032,2761106,429697,137099,8148349,1249057,21287197,0,2479618,0,0,0,0
"158",2016,"FRH0",0,0,17545004,3216302,5807854,391993,0,6841968,42527646,0,0,0,700990,0,0
"159",2016,"FRI1",0,0,61833066,0,3358810,74231,0,0,18624022,0,0,0,2042940,0,0
"160",2016,"FRI2",0,0,1981599,2322004,88636,105794,0,266697,7025983,0,0,0,771131,0,0
"161",2016,"FRI3",0,0,2364736,78222,3186000,341812,836751,90294,23526889,0,3563020,0,0,0,0
"162",2016,"FRJ1",0,0,16569762,564495,24315381,0,0,0,29066530,0,0,0,67253,0,0
"163",2016,"FRJ2",0,169927,8630785,4660577,7044478,554759,4351175,1852795,13082117,0,31058660,0,3116254,0,0
"164",2016,"FRK1",0,565132,193901,0,6344117,151160,1101530,7765712,20394921,0,3630836,0,38487137,0,0
"165",2016,"FRK2",0,1652660,10879444,3231020,9857655,2533739,0,0,37011124,0,0,446357,0,0,0
"166",2016,"FRL0",0,828751,5762230,28962044,474486,4620395,0,0,0,0,161493,0,2100575,0,0
"167",2016,"FRM0",0,0,382222,0,1506545,24722,0,0,1269915,0,0,0,0,0,0
"168",2016,"FRY2",0,1612747,8917218,5125731,5526404,0,0,0,0,0,3602377,0,0,0,0
"169",2016,"FRY3",0,0,0,0,6030672,435656,0,0,22266847,0,0,0,0,0,0
"170",2016,"FRY4",1089179,0,13459963,2585155,51164025,5753303,4936749,1724066,1033379,0,20950927,2691196,0,0,0
"171",2016,"FRZZ",0,0,0,0,4389360,0,0,0,0,0,0,0,0,0,0
"172",2016,"HR",0,0,0,6183067,10479122,0,0,0,0,0,0,0,0,0,0
"173",2016,"HR0",0,0,0,1772649,0,0,75016,0,0,0,37008538,0,0,0,0
"174",2016,"HR03",0,227761,0,16869944,0,0,0,972551,0,0,11692436,0,0,0,0
"175",2016,"HR04",0,3725926,0,28291603,0,11146597,0,522672,0,0,14380321,0,0,0,0
"176",2016,"HU11",150071,2157372,2880722,197366,0,17749961,0,1477477,2944211,15427111,0,32769843,0,0,0
"177",2016,"HU21",26992,48841,129672,85233,358803,0,0,25075,0,0,22909971,36784128,0,0,0
"178",2016,"HU22",121096,85976,221176,36528,417273,0,0,0,0,0,19997808,98492009,0,0,0
"179",2016,"HU23",109904,21009473,16709,36528,80539,0,0,0,0,0,16347070,125306489,0,0,0
"180",2016,"HU31",50070,3413590,191718,36528,0,0,356751,0,0,0,26174758,41583666,0,0,0
"181",2016,"HU32",239607,4722512,94515,24352,0,0,0,0,0,0,28348623,121139261,0,0,0
"182",2016,"HU33",92473,3911273,198191,189801,933343,0,25092576,27440,0,0,26999474,8952,0,0,0
"183",2016,"HUZZ",0,0,471932415,2419299,41376308,0,0,10670895,0,0,2767774,0,2830229,0,0
"184",2016,"IE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2016,"IE0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",2016,"IE04",0,0,0,0,0,0,0,0,0,0,103288,0,0,0,0
"187",2016,"IE05",0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0
"188",2016,"IS",0,0,0,0,0,0,39532,0,0,0,0,0,0,0,0
"189",2016,"IT",0,29206951,0,2515272,325534610,1111839,0,0,2482620,0,0,0,0,0,0
"190",2016,"ITC1",0,0,0,14466885,69492314,5866991,0,1e+07,22748293,0,1.5e+07,0,0,0,0
"191",2016,"ITC2",0,1201966,0,340302,106729,316629,890363,0,0,0,0,0,4178022,0,0
"192",2016,"ITC3",0,0,0,1574783,0,1984356,0,0,0,0,2249402,0,2156556,0,0
"193",2016,"ITC4",0,0,0,57279001,11381977,5199455,22500000,4392858,3372137,0,10500000,0,0,0,0
"194",2016,"ITF1",0,0,0,3691525,701705,179979,0,0,0,0,0,0,0,0,0
"195",2016,"ITF2",0,0,0,615232,882067,284434,5e+05,0,0,0,0,0,0,0,0
"196",2016,"ITF3",0,0,0,14116054,0,626708,0,0,0,0,0,0,0,0,0
"197",2016,"ITF4",0,0,0,11810140,0,0,0,0,0,0,0,0,0,0,0
"198",2016,"ITF5",0,492659,0,1549541,0,3076460,0,0,0,0,30000,0,622314,0,0
"199",2016,"ITF6",0,0,0,8184009,0,1559357,0,0,0,0,0,319177,7600000,0,0
"200",2016,"ITG1",0,0,0,9570068,0,0,0,0,0,0,0,0,0,0,0
"201",2016,"ITG2",4982066,0,0,2763844,5302181,3595987,2015551,4006801,1308185,0,2414173,0,8704519,0,0
"202",2016,"ITH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",2016,"ITH2",0,0,0,3795908,6088962,845481,1170777,0,110867,79935,0,0,0,0,0
"204",2016,"ITH3",0,0,0,21237919,6664624,1574449,0,0,1872907,0,0,0,0,0,0
"205",2016,"ITH4",0,0,0,10153126,12294203,1605717,0,266390,1458759,31844,0,0,0,0,0
"206",2016,"ITH5",0,0,0,10566162,27052682,9503170,0,0,200139,0,2775087,0,0,0,0
"207",2016,"ITI1",0,0,0,9519034,19690527,1811835,8044669,106346,5225267,0,12940223,0,0,0,0
"208",2016,"ITI2",0,0,0,4161209,4659169,379491,0,0,629444,43751,0,0,0,0,0
"209",2016,"ITI3",0,0,0,7558933,5394128,1038825,4754730,5167194,0,143199,0,0,0,0,0
"210",2016,"ITI4",0,0,0,35786887,11865785,1619788,0,0,3141617,160325,0,0,0,0,0
"211",2016,"LT",0,0,66456637,13321778,74211905,23369444,10874406,127512395,54750441,943223,62108758,316226521,1843950,0,0
"212",2016,"LT01",0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0
"213",2016,"LU",0,0,0,0,0,220318,0,594020,0,0,0,0,0,0,0
"214",2016,"LV00",0,0,1014761,371527,43531091,9987786,435585,5583679,7988184,251892,34306603,171301885,23521,0,0
"215",2016,"MT00",0,0,0,2391000,223080,1466415,0,0,0,0,13814417,6477692,0,0,0
"216",2016,"NL1",0,0,0,0,2712847,0,40566,0,7120602,0,0,0,0,0,0
"217",2016,"NL11",0,0,942002,0,0,707024,1573911,1377367,0,831392,0,0,0,0,0
"218",2016,"NL12",0,0,0,0,0,0,390128,393078,0,0,0,0,0,0,0
"219",2016,"NL13",0,0,0,0,0,0,554454,0,0,0,0,0,0,0,0
"220",2016,"NL2",0,0,0,0,8845447,0,0,0,26756578,0,0,0,0,0,0
"221",2016,"NL21",0,0,0,0,0,0,6730359,681094,0,299475,0,0,0,0,0
"222",2016,"NL22",0,50000,2249835,0,0,0,10560379,1977321,0,1092996,0,0,0,0,0
"223",2016,"NL23",0,0,0,0,0,0,1723111,0,0,0,0,0,0,0,0
"224",2016,"NL3",0,0,0,0,9439731,0,0,0,38976150,0,0,0,0,0,0
"225",2016,"NL31",0,0,0,0,212218,0,0,0,0,0,0,0,0,0,0
"226",2016,"NL32",0,0,0,0,98220,0,2819313,830725,0,0,0,0,0,0,0
"227",2016,"NL33",0,50000,0,0,0,0,5355371,0,0,0,0,0,0,0,0
"228",2016,"NL34",0,0,0,0,0,0,876734,1432435,0,0,0,0,0,0,0
"229",2016,"NL4",0,0,0,0,8240061,0,0,0,14556054,0,0,0,0,0,0
"230",2016,"NL41",0,50000,0,0,0,0,9081536,459349,0,0,0,0,0,0,0
"231",2016,"NL42",0,0,104696,0,0,0,6304446,251429,0,364228,0,0,0,0,0
"232",2016,"NO05",0,0,0,0,0,0,0,0,0,0,31442,0,0,0,0
"233",2016,"NO07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",2016,"PL",0,191932,117725989,5925039,152659948,136646437,89903992,15000474,217618,178606,184302473,8254231,5749179,0,0
"235",2016,"PL21",0,119617,23812261,0,47383275,10342909,13233767,0,9666914,0,20996880,136739411,0,0,0
"236",2016,"PL22",0,3398,41799707,0,1504526,4936223,5852840,9723754,16195598,0,15450984,113340088,55503,0,0
"237",2016,"PL41",0,0,56878036,2500531,12846590,7988505,2070320,11548380,2841819,0,2410181,96307886,2039,0,0
"238",2016,"PL42",0,0,22334590,0,31311594,5269564,14280,0,113630,0,1180050,7336395,8835,0,0
"239",2016,"PL43",0,0,21478,105366,12446704,5232556,854712,0,451007,0,0,129261246,80798,0,0
"240",2016,"PL51",0,0,0,0,23887986,0,4103545,0,41631,0,29451,369315693,0,0,0
"241",2016,"PL52",0,1691120,603467,224245,9287029,7443786,5570679,9273079,742977,0,13029905,85101182,0,0,0
"242",2016,"PL61",0,53003,0,43182,36744117,6106844,5724937,0,218932,0,2624301,69401966,0,0,0
"243",2016,"PL62",0,0,2174104,11505,26216914,856505,1842523,4136,403605,0,2375780,458728334,0,0,0
"244",2016,"PL63",0,19000,28483500,616905,0,3981168,12967417,12383692,1202909,0,18030201,150852356,0,0,0
"245",2016,"PL71",0,2866284,20987535,599197,44873076,3371074,3162418,6445041,1618059,0,33767290,75983721,0,0,0
"246",2016,"PL72",0,0,691038,0,33609016,4342628,1190589,0,266807,0,42827,145214698,0,0,0
"247",2016,"PL81",0,34570,8455158,125382,34083972,7159542,1277925,0,298774,0,24802635,57787991,0,0,0
"248",2016,"PL82",0,0,18115329,380466,43998026,8986265,4804186,0,71072,0,3633811,91007711,2675,0,0
