Substance,ISO,Country,NUTS 2,NUTS 2 desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
GWP_100_AR5_GHG,BGR,Bulgaria,BG,,530.46179567562,267.78106770884,260.62971739253,267.43097742698,261.5003686902,265.75582606899,271.06992161364,311.31939374128,306.41678670103,376.37410867883,263.92369873564,368.59580319211,287.55966226726,298.56353625301,287.44148796927,277.27025705449,317.66585698323,377.60556146875,279.02862754642,276.87784520311,253.50889081087,271.04120714022,190.49164432618,181.960234069,179.66864823945,198.23144558982,213.99258089693,218.42774531686,205.20962593749,181.9429238951,160.28935650156,176.59268458511,200.76931367232
GWP_100_AR5_GHG,BGR,Bulgaria,BG31,Severozapaden,8930.7519612272,7357.2716736383,6693.3943189142,6424.836032017,6169.9334393427,6125.6871578661,6123.7967878562,5596.88265637,5368.0090691571,4892.9443652568,4827.0582639803,4772.4587628817,4750.2393058668,5379.3614138702,5135.401412364,5365.6542815547,5703.0220186366,5912.872067113,5771.1342873334,4693.1515075426,5625.0802511285,5729.8453885839,5335.1870592296,4979.5918504138,5217.5761434555,5649.7663484626,5829.9187710247,5927.9268965172,5848.3579356498,5780.3688000499,5549.9799916922,5558.4463036247,5735.821801538
GWP_100_AR5_GHG,BGR,Bulgaria,BG32,Severen tsentralen,8446.9172718049,7679.6392342981,7384.4909312097,7346.0808512403,6475.3776803115,5810.6305625317,5868.0035137465,6097.7423366351,6174.2768929727,5557.4842633658,5201.0666432992,5350.2545173676,5229.5644774153,5643.9471005432,5631.1848265833,5310.1666373464,5410.3345172394,5691.6641552075,5517.0105244381,4671.2428049094,4962.5116566418,5263.9541387249,5065.9226725388,4695.2590508047,4897.1025432096,5146.7454323738,5447.9026213106,5606.5831486325,5418.3546466416,5364.0531203319,5080.843601003,5714.3666090721,6239.4922939074
GWP_100_AR5_GHG,BGR,Bulgaria,BG33,Severoiztochen,21057.424632413,17827.062691911,16230.683156381,15493.060769255,14546.845595904,14737.351241691,14740.67503512,14786.81929508,13908.433073168,12352.05169559,12249.541829381,12840.375669924,12087.435879902,13295.156563187,12966.198787696,13372.215963482,13710.283343893,14603.736371244,14586.661301874,13001.012249517,13694.571353218,14082.650873562,13078.501851552,12075.789992407,11660.988303313,11827.907425245,8347.9382540814,9161.4263469381,9048.1243489008,8918.3519199321,8721.1880295005,9432.4706102055,9633.4384932175
GWP_100_AR5_GHG,BGR,Bulgaria,BG34,Yugoiztochen,31011.100492781,27536.94250192,26543.532084673,26633.502545888,24183.494608539,24046.747828666,24335.738573967,21883.671718283,21786.544201597,19543.074864318,18880.977916826,20423.40116237,19017.477325231,20583.807032674,20433.353008797,20744.054932384,21105.661530929,22949.510157692,22643.824746263,20871.272093829,21331.726668542,25586.212069256,22885.884574873,20436.78617094,22018.367649352,23726.321819297,24276.825927553,25368.020584554,22974.829672389,22063.433610825,18919.55435746,22917.521521931,26308.510437686
GWP_100_AR5_GHG,BGR,Bulgaria,BG41,Yugozapaden,22143.491407019,19260.22815134,18900.016311218,19612.828958718,18731.201256202,17422.753200751,17460.714363794,17704.589373895,16474.590672777,15102.293843548,14675.359119065,14400.349316747,13741.568476035,15366.320478033,14442.249255847,14383.466563133,14660.123653103,14944.415159434,13132.409528004,11212.164160185,11151.707182782,11456.330734984,10742.692825075,9765.7419471907,10427.222014223,11645.653113247,11544.878259474,11847.268880619,11392.103650496,11266.048328014,10698.471644038,12009.66622469,12936.786241876
GWP_100_AR5_GHG,BGR,Bulgaria,BG42,Yuzhen tsentralen,12866.303637957,10863.651103507,9892.9787807365,9352.8643793386,9002.9588289535,9129.8850502924,9210.7803947246,8788.4617554335,8161.8961584648,7140.4182544555,7040.5571692259,6790.569061347,6446.6301425442,7039.7586076547,7006.9335503735,7302.4468553694,7228.1619888549,7393.0215933644,6721.1672864099,5688.2384071345,6162.9100736629,6430.9861267616,6202.4983956141,5965.0526211439,6189.6764063125,6711.1988901972,6932.5223527147,7186.1227184201,7211.0891866164,7132.1017290528,6945.2459258648,7552.1905311574,7358.7264899993
GWP_100_AR5_GHG,CYP,Cyprus,CY,,28.518103641445,30.816423629108,32.146713819959,33.103538373846,35.135382125913,34.474049976093,35.874162345726,36.487887110955,38.779229998632,39.283440901705,40.502177964775,39.556290194274,38.975402072175,42.244057888623,41.250309823925,39.828060968974,38.175548352322,39.021211539734,38.195072807215,35.404353916193,33.448419947773,31.450293775399,27.570159961341,22.821365436708,23.499184814567,24.316843256259,25.501677206869,33.456740965316,33.345470243175,32.412670344217,28.033714433644,30.943334563622,34.873392700194
GWP_100_AR5_GHG,CYP,Cyprus,CY00,Kýpros,5519.7941847675,6058.0072367918,6460.5441885934,6748.0710645786,7026.0489312608,6917.1271884989,7314.3566556757,7394.614217454,7722.5421288147,8001.6592367085,8265.7698177047,8189.4125564998,8412.2667915054,9083.7242787633,9030.4904383031,9138.9083169899,9258.9589055516,9560.2086350686,9762.4823382957,9566.7816251336,9648.1785125802,9414.6510811831,8813.293772595,8094.5999047396,8493.0621766813,8565.6507665217,8990.3207045596,9163.3356054729,9412.5760249654,9954.9683064913,9507.5414103999,10346.811109945,10595.034970074
GWP_100_AR5_GHG,CZE,Czechia,CZ,,585.22457405004,529.553848492,560.41099349489,508.38359131825,487.47741547861,446.87964161574,520.13484126779,622.61082956413,701.78543714347,591.56940682286,596.98537212113,628.62603917462,563.48724439912,656.37282639216,619.46637416415,572.9577336144,526.3875331981,572.89231551546,576.21932142969,521.41422244716,480.08594844675,512.60379440588,435.53002224119,404.19884383419,397.82637772811,444.8202005249,461.41086367842,493.82936937155,426.15643386023,462.21057099146,417.01548778594,453.5451306947,530.58528264633
